1,"Corrupt Officials","Коррупционеры"
2,"Organizers of Repressions","Организаторы репрессий"
3,"Local Officials","Региональные чиновники"
4,"Propagandists","Пропагандисты"
5,"Parliament and Senate","Депутаты и сенаторы"
6,"Top Managers","Руководители госкомпаний"
7,"Warmongers","Разжигатели войны"
8,"Federal Officials","Федеральные чиновники"
9,"Siloviki","Cиловики"
10,"Putin’s Supporters","Сторонники Путина"
11,"Low priority","Низкий приоритет"
12,"United Russia","Единая Россия"
13,"Influencers","Инфлюенсеры"
14,"War Arrangers","Организаторы войны"
15,"Election Fraud","Фальсификаторы выборов"
16,"Region Heads","Главы регионов"
17,"Bankers","Банкиры"
